商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
夏季轻薄洋气冰丝透气时尚套装中年妈妈装休闲两件套修身显瘦百搭,230713-257095115662786,已签收,"72.0	","5.0	","0.0	","67.0	","67.0	","1	",2023/7/15 2:13,2023/7/25 10:13,"497945938978	","金绿色043#【上衣+裤子】,4XL 建议150-165斤","1413924228797	",#dd#230713-566467040702951#18059530840#2023-07-13#401282514983#22.9##;,无售后或售后取消,"777154638540441	",申通快递,2023/7/13 14:15,否,,"	",
天丝牛仔短裤子女夏新款薄冰丝休闲五分宽松阔腿高腰a字热裤大码,230713-394379970170430,已签收,"44.88	","5.0	","0.0	","39.88	","39.88	","1	",2023/7/15 2:13,2023/7/23 10:49,"498400479862	","浅蓝,M(80-110斤)","1414658742469	",#dd#230713-055417250622951#18059530840#2023-07-13#494649908522#12.9##;,无售后或售后取消,"463020021828377	",韵达快递,2023/7/13 14:12,否,,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230713-252465704332983,已发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/14 14:03,"	","498369161630	","原麻色九分裤,2XL 建议125-135斤","1414606852352	",#dd#230713-014858393022951#18059530840#2023-07-13#464233083968#26.9##;,退款成功,"777154657997994	",申通快递,2023/7/13 14:09,否,,"	",
棉绸睡衣女夏季薄款短袖七分裤套装可外穿人造棉大码宽松家居服女,230713-250420981272948,已签收,"64.6	","5.0	","0.0	","59.6	","59.6	","1	",2023/7/14 14:03,2023/7/16 13:42,"497954216281	","6号色,3XL 【建议体重120斤内】","1413937812637	",#dd#230713-658568693182951#18059530840#2023-07-13#468020331099#20.1##;,无售后或售后取消,"463018843823351	",韵达快递,2023/7/13 14:03,否,,"	",
单/套装纯棉时尚套装女夏季文艺仿棉麻t恤短袖上衣阔腿短裤两件套,230713-045314262561935,已签收,"67.15	","5.0	","0.0	","62.15	","62.15	","1	",2023/7/14 13:40,2023/7/17 18:40,"498277398462	","粉色（上衣+短裤）,2XL建议（130-145斤）","1414452446027	",#dd#230713-515941416382951#18059530840#2023-07-13#352065490241#25.8##;,无售后或售后取消,"777153900152295	",申通快递,2023/7/13 14:00,否,,"	",
睡衣女夏季短袖长裤卡通可爱棉质韩版休闲宽松甜美清新家居服套装,230713-603827803712633,已发货，待签收,"58.65	","5.0	","0.0	","53.65	","53.65	","1	",2023/7/14 13:40,"	","497979100563	","业141短袖长裤套装女,L码","1413975864648	",#dd#230713-601111991742951#18059530840#2023-07-13#221568654178#21.8##;,无售后或售后取消,"463019003136903	",韵达快递,2023/7/13 14:06,否,,"	",
睡衣女夏季短袖长裤卡通可爱棉质韩版休闲宽松甜美清新家居服套装,230713-045482055232633,已发货，待签收,"58.65	","3.0	","0.0	","55.65	","55.65	","1	",2023/7/13 19:40,"	","497979100563	","长尾猫短袖长裤套装女,L码","1413975864528	",#dd#230713-141316658622951#18059530840#2023-07-13#221568654178#21.8##;,无售后或售后取消,"463014987804729	",韵达快递,2023/7/13 14:06,否,,"	",
高档纯棉睡衣女夏季短袖长裤中年妈妈大码开衫套装中老年人家居服,230713-255144795102179,未发货，退款成功,"88.4	","5.0	","0.0	","83.4	","83.4	","1	","	","	","497947037721	","37103,M（80-100斤）","1413926198646	","	",退款成功,"	","	",2023/7/13 13:58,否,,"	",
睡衣女夏季薄款绵绸套装冰丝中老年棉绸家居服人造棉短袖两件套装,230713-595895316151024,已签收,"76.5	","5.0	","5.0	","66.5	","71.5	","1	",2023/7/14 13:40,2023/7/24 13:40,"497986073135	","白色梨花(口袋款),XXL（建议120-135斤）","1413986962743	",#dd#230713-669583973182951#18059530840#2023-07-13#485566252413#29.9##;,无售后或售后取消,"463019003041530	",韵达快递,2023/7/13 13:47,否,,"	",
日系水洗布睡衣女夏薄款长袖柠檬可爱小清新人造棉布睡衣家居服套,230713-517760675433424,已发货，退款成功,"82.45	","5.0	","0.0	","77.45	","77.45	","1	",2023/7/13 19:40,"	","497997213360	","14-7,2XL（126--140斤）","1414003927206	",#dd#230713-335062014782951#18059530840#2023-07-13#177995709156#31.99##;,退款成功,"463014987438528	",韵达快递,2023/7/13 13:46,否,,"	",
亚麻阔腿裤女高腰垂感2023字母松紧腰棉麻女裤宽松显瘦拖地长裤子,230713-012546272882986,已签收,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/15 2:13,2023/7/25 2:13,"498382503935	","卡其色,L 建议105-115斤","1414629108854	",#dd#230713-358088743742951#18059530840#2023-07-13#462151508603#29.9##;,无售后或售后取消,"777154638540672	",申通快递,2023/7/13 13:46,否,,"	",
日系水洗布睡衣女夏薄款长袖柠檬可爱小清新人造棉布睡衣家居服套,230713-238907616933103,已取消,"82.45	","5.0	","0.0	","77.45	","77.45	","1	","	","	","497997213360	","14-7,2XL（126--140斤）","1414003927206	","	",无售后或售后取消,"	","	","	","	",,"	",
两件装棉麻七分裤女夏季宽松大码亚麻松紧腰小脚哈伦裤百搭休闲裤,230713-129320949431793,已签收,"90.1	","5.0	","0.0	","85.1	","85.1	","1	",2023/7/13 20:59,2023/7/18 8:11,"498367733224	","天蓝+黄色【两件装】,3XL 建议145-160斤","1414604790448	",#dd#230713-433418412862951#18059530840#2023-07-13#390538439484#36.5##;,无售后或售后取消,"463014980276028	",韵达快递,2023/7/13 13:43,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230713-668933877393403,已发货，退款成功,"89.25	","5.0	","0.0	","84.25	","84.25	","1	",2023/7/14 13:40,"	","498367213758	","亚麻色,4XL 140-160斤","1414603561183	",#dd#230713-529237318462951#18059530840#2023-07-13#362258272721#35.98##;,退款成功,"463019002817308	",韵达快递,2023/7/13 13:41,否,,"	",
夏季镂空运动裤女薄款宽松阔腿束脚裤网纱裤子显瘦休闲速干空调裤,230713-111715316742984,已发货，退款成功,"75.65	","3.0	","0.0	","72.65	","72.65	","1	",2023/7/15 2:13,"	","498386511934	","黑色,2XL","1414635871743	",#dd#230713-627226787262951#18059530840#2023-07-13#383586099112#29.5##;,退款成功,"777154638539865	",申通快递,2023/7/13 13:36,否,,"	",
夏季镂空运动裤女薄款宽松阔腿束脚裤网纱裤子显瘦休闲速干空调裤,230713-373109616262984,已发货，退款成功,"72.25	","5.0	","0.0	","67.25	","67.25	","1	",2023/7/15 2:13,"	","498386511934	","白色,2XL","1414635871738	",#dd#230713-052523253182951#18059530840#2023-07-13#383586099112#27.9##;,退款成功,"777154638541021	",申通快递,2023/7/13 13:35,否,,"	",
【买一送一】睡衣女夏季短袖卡通甜美薄款大码可外穿家居服套装,230713-263150652230560,已签收,"64.6	","5.0	","4.62	","54.98	","59.6	","1	",2023/7/15 2:13,2023/7/25 2:13,"497993702677	","圆圈熊+阳光夏【两套价】,L 【建议90-105斤】","1413998298284	",#dd#230713-077280112062951#18059530840#2023-07-13#490748426048#24.5##;,无售后或售后取消,"777154638539555	",申通快递,2023/7/13 13:32,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230713-139722761132666,已签收,"39.95	","5.0	","0.0	","34.95	","34.95	","1	",2023/7/14 13:40,2023/7/17 19:16,"498373068809	","1号色 【冰丝裤】,XL 建议【120斤内】","1414613202063	",#dd#230713-278952723902951#18059530840#2023-07-13#489179488192#9.8##;,无售后或售后取消,"463019003545274	",韵达快递,2023/7/13 13:29,否,,"	",
夏季女士棉绸短裤人造棉居家外穿休闲五分裤清凉宽松大码睡裤薄款,230713-273536787460969,已签收,"43.5	","5.0	","0.0	","38.5	","38.5	","1	",2023/7/14 13:40,2023/7/17 7:06,"498391756480	","人棉【萝卜头】五分裤,短裤2XL(建议130-160斤)","1414644854105	",#dd#230713-189058261822951#18059530840#2023-07-13#384820387637#9.69##;,无售后或售后取消,"463019002994241	",韵达快递,2023/7/13 13:27,否,,"	",
单/两件夏季韩版睡衣女短袖裤薄款学生家居服大码加肥胖宽松套装,230713-670569614270318,已发货，退款成功,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/15 2:13,"	","497995354462	","【两套】粉笑脸+灰圈圈,L 【建议100-125斤】","1414000968692	",#dd#230713-390468750142951#18059530840#2023-07-13#326429756394#29.9##;,退款成功,"777154638541872	",申通快递,2023/7/13 13:20,否,,"	",
100%棉麻复古萝卜裤子女2023夏新款哈伦裤宽松纯色百搭休闲九分裤,230713-311469075852511,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/15 2:13,2023/7/25 10:13,"498371942762	","麻色,4XL 建议180-200斤","1414611427524	",#dd#230713-206365039422951#18059530840#2023-07-13#238001792094#18.9##;,无售后或售后取消,"777154638539574	",申通快递,2023/7/13 13:16,否,,"	",
夏季轻薄洋气冰丝透气时尚套装中年妈妈装休闲两件套修身显瘦百搭,230713-217112943361091,已签收,"72.0	","5.0	","0.0	","67.0	","67.0	","1	",2023/7/15 2:13,2023/7/20 20:01,"497945938978	","红色043#【上衣+裤子】,2XL 建议120-135斤","1413924228807	",#dd#230713-289648157502951#18059530840#2023-07-13#401282514983#22.9##;,无售后或售后取消,"777154638543536	",申通快递,2023/7/13 13:11,否,,"	",
日系水洗布睡衣女夏薄款长袖柠檬可爱小清新人造棉布睡衣家居服套,230713-661462721463290,已签收,"82.45	","5.0	","0.0	","77.45	","77.45	","1	",2023/7/13 23:09,2023/7/23 23:09,"497997213360	","14-7,XL（110--125斤）","1414003927205	",#dd#230713-071072510983040#17350128509#2023-07-13#177995709156#31.99##;,无售后或售后取消,"463015000975426	",韵达快递,2023/7/13 13:02,否,,"	",
妈妈棉质夏装中老年人女装夏天老年套头奶奶宽松T恤衣服老人套装,230713-380260873143617,已发货，退款成功,"96.05	","5.0	","0.0	","91.05	","91.05	","1	",2023/7/13 19:58,"	","497994826049	","浅绿【0551】绵质,【XL】建议85- 105斤","1414000031351	",#dd#230713-511752345223040#17350128509#2023-07-13#222800972354#37.05##;,退款成功,"463014985698829	",韵达快递,2023/7/13 12:57,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230713-097140162151880,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/13 23:09,2023/7/23 23:09,"498000631123	","A25232 全棉,L 【95-115斤】","1414008760766	",#dd#230713-448313476743040#17350128509#2023-07-13#474405619066#22.5##;,无售后或售后取消,"777153996199933	",申通快递,2023/7/13 12:57,否,,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230713-406637782071667,已签收,"97.75	","5.0	","2.0	","90.75	","92.75	","1	",2023/7/13 14:52,2023/7/23 14:52,"497949373095	","V领红色金花+V领金色牡丹花,M 【70-95斤】","1413930005300	",#dd#230713-165790412423040#17350128509#2023-07-13#227107608999#39.9##;,无售后或售后取消,"777153958877359	",申通快递,2023/7/13 12:54,否,,"	",
单/套装纯棉时尚套装女夏季文艺仿棉麻t恤短袖上衣阔腿短裤两件套,230713-056151316132623,已发货，退款成功,"67.15	","5.0	","0.0	","62.15	","62.15	","1	",2023/7/13 23:08,"	","498277398462	","白色（上衣+短裤）,XL建议 （115-130斤）","1414452446020	",#dd#230713-552421344903040#17350128509#2023-07-13#352065490241#25.8##;,退款成功,"777153996252004	",申通快递,2023/7/13 12:52,否,,"	",
莫代尔短袖连衣裙女夏宽松大摆裙大码百褶裙圆领中长过膝家居睡裙,230713-269379225112388,未发货，退款成功,"55.25	","5.0	","0.0	","50.25	","50.25	","1	","	","	","498012686393	","水蓝色,L（建议100-200斤）","1414026767479	",#dd#230713-511563539262951#18059530840#2023-07-13#447832315997#15.5##;,退款成功,"	","	",2023/7/13 12:46,否,,"	",
大码女夏装新款微胖mm洋气遮肉显瘦裤裙高腰阔腿宽松外穿西装短裤,230713-253493309043615,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/14 13:40,2023/7/24 13:40,"498396200938	","黑色,XL 120-140斤","1414652246784	",#dd#230713-206029464382951#18059530840#2023-07-13#461688380246#24.98##;,无售后或售后取消,"463019002945649	",韵达快递,2023/7/13 12:37,否,,"	",
高档莫代尔棉睡衣女夏季薄款短袖七分裤大码宽松胖mm圆点家居服夏,230713-057142210072149,已取消,"102.0	","3.0	","0.0	","99.0	","99.0	","1	","	","	","497981260235	","02-7002【莫代尔】,4XL 推荐180-200斤","1413979068565	","	",无售后或售后取消,"	","	","	","	",,"	",
高档莫代尔棉睡衣女夏季薄款短袖七分裤大码宽松胖mm圆点家居服夏,230713-518442239512149,已签收,"102.0	","5.0	","0.0	","97.0	","97.0	","1	",2023/7/15 2:13,2023/7/25 2:13,"497981260235	","02-7002【莫代尔】,4XL 推荐180-200斤","1413979068565	",#dd#230713-141065010622951#18059530840#2023-07-13#469069021673#36.96##;,无售后或售后取消,"777154638539719	",申通快递,2023/7/13 12:38,否,,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230713-622906592141288,已发货，待签收,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/14 13:40,"	","498369161630	","灰色九分裤,S 建议80-95斤","1414606852342	",#dd#230713-420379422142951#18059530840#2023-07-13#469782996003#25.45##;,无售后或售后取消,"463019003436386	",韵达快递,2023/7/13 12:29,否,,"	",
【买一送一】睡衣女夏季短袖卡通甜美薄款大码可外穿家居服套装,230713-662343587384024,已签收,"64.6	","5.0	","0.0	","59.6	","59.6	","1	",2023/7/15 2:13,2023/7/25 10:13,"497993702677	","圆圈熊+字母熊【两套价】,M 【建议75-90斤】","1413998298259	",#dd#230713-118237469502951#18059530840#2023-07-13#490748426048#24.5##;,无售后或售后取消,"777154638537368	",申通快递,2023/7/13 12:16,否,,"	",
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230713-632013495130763,已签收,"57.63	","3.0	","2.0	","52.63	","54.63	","1	",2023/7/13 22:06,2023/7/23 22:06,"497952154126	","2211蝴蝶结,2XL 建议拍【125-145斤】","1413934162253	",#dd#230713-420961381822951#18059530840#2023-07-13#484218076454#16.8##;,无售后或售后取消,"777153994673126	",申通快递,2023/7/13 12:02,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230713-059249816363622,已签收,"96.05	","5.0	","0.0	","91.05	","91.05	","1	",2023/7/14 13:40,2023/7/24 13:40,"497984016735	","7SC-短长藕荷晚樱,M（80-100斤）","1413983512319	",#dd#230713-018046053822951#18059530840#2023-07-13#234274278338#39##;,无售后或售后取消,"463019003883334	",韵达快递,2023/7/13 12:01,否,,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230713-430110207450547,已发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/14 14:03,"	","498369161630	","灰色九分裤,2XL 建议125-135斤","1414606852346	",#dd#230713-119207443902951#18059530840#2023-07-13#464233083968#26.9##;,退款成功,"777154657983465	",申通快递,2023/7/13 11:59,否,,"	",
中年妈妈睡衣女夏季纯棉短袖七分裤中老年人加大码薄款套装家居服,230713-556683764570215,已发货，退款成功,"68.85	","5.0	","6.0	","57.85	","63.85	","1	",2023/7/14 13:40,"	","498247229461	","t3920,XL（115-135斤）","1414404905547	",#dd#230713-456382268862951#18059530840#2023-07-13#241122968687#26.25##;,退款成功,"463019003710329	",韵达快递,2023/7/13 11:59,否,,"	",
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230713-173607546330763,已签收,"57.63	","5.0	","3.0	","49.63	","52.63	","1	",2023/7/13 22:05,2023/7/23 22:05,"497952154126	","2201柚子,2XL 建议拍【125-145斤】","1413934162218	",#dd#230713-098975159742951#18059530840#2023-07-13#484218076454#16.8##;,无售后或售后取消,"777153994672509	",申通快递,2023/7/13 11:50,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230713-047883304533818,已发货，退款成功,"90.95	","5.0	","1.0	","84.95	","85.95	","1	",2023/7/14 14:03,"	","498241710851	","绿色,3XL（建议130-145 斤）","1414396011703	",#dd#230713-114446888382951#18059530840#2023-07-13#345144408481#35.8##;,退款成功,"777154657932324	",申通快递,2023/7/13 11:49,否,,"	",
夏季镂空运动裤女薄款宽松阔腿束脚裤网纱裤子显瘦休闲速干空调裤,230713-293622270901865,已发货，退款成功,"75.65	","5.0	","3.0	","67.65	","70.65	","1	",2023/7/15 2:13,"	","498386511934	","黑色,2XL","1414635871743	",#dd#230713-528304075582951#18059530840#2023-07-13#383586099112#29.5##;,退款成功,"777154638542191	",申通快递,2023/7/13 11:47,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230713-104228463491068,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/13 19:40,2023/7/23 19:40,"498000631123	","A25307 全棉,XL 【115-130斤】","1414008760779	",#dd#230713-029947339582951#18059530840#2023-07-13#474405619066#22.5##;,无售后或售后取消,"777153999507487	",申通快递,2023/7/13 11:49,否,,"	",
【买一送一】夏季薄款短袖睡衣女学生甜美短裤卡通家居服两件套装,230713-273856623402271,未发货，退款成功,"65.45	","5.0	","0.0	","60.45	","60.45	","1	","	","	","497991683684	","米黄小熊+娃娃熊,L 建议90-105斤","1413995309289	","	",退款成功,"	","	",2023/7/13 11:46,否,,"	",
韩版百搭复古短裤女夏季高腰2023款阔腿a字型热裤宽松显瘦慵懒风,230713-600561437641385,已签收,"60.35	","5.0	","0.0	","55.35	","55.35	","1	",2023/7/15 2:13,2023/7/25 10:13,"498403752100	","浅卡其 【优质款】,M 96-110斤","1414664350319	",#dd#230713-289522380222951#18059530840#2023-07-13#452784724029#17.81##;,无售后或售后取消,"463020021861562	",韵达快递,2023/7/13 11:42,否,,"	",
短袖短裤男士睡衣100%纯棉夏季天薄款2023新款全棉男款家居服套装,230713-537038765600118,已发货，待签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/14 13:40,"	","497961628150	","FX2016,2XL 建议体重150-170斤","1413948812412	",补发已下单#dd#230713-032364337982951#18059530840#2023-07-13#346161268865#24.9##; 补发 王多头[6342] 18466647013 江苏省南京市高淳区 融创中南御园13栋三单元306[6342],无售后或售后取消,"463019003679599	",韵达快递,2023/7/13 11:40,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230713-473966898780813,已取消,"89.25	","5.0	","0.0	","84.25	","84.25	","1	","	","	","498367213758	","亚麻色,XL 110-120斤","1414603561180	","	",无售后或售后取消,"	","	","	","	",,"	",
棉绸睡衣女夏季薄款短袖七分裤套装可外穿人造棉大码宽松家居服女,230713-273384816140484,已取消,"64.6	","5.0	","0.0	","59.6	","59.6	","1	","	","	","497954216281	","9号色,4XL 【建议体重120-150斤】","1413937812644	","	",无售后或售后取消,"	","	","	","	",,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230713-246593647583745,未发货，退款成功,"90.95	","3.0	","0.0	","87.95	","87.95	","1	","	","	","498241710851	","紫色,M （建议100斤内）","1414396011729	","	",退款成功,"	","	",2023/7/13 11:24,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230713-468734452703745,已取消,"90.95	","5.0	","0.0	","85.95	","85.95	","1	","	","	","498241710851	","紫色,M （建议100斤内）","1414396011729	","	",无售后或售后取消,"	","	","	","	",,"	",
加肥加大女装遮肚子人造棉薄款气质中年妈妈特大码300斤棉绸夏装,230713-531696271013292,已签收,"107.95	","5.0	","0.0	","102.95	","102.95	","1	",2023/7/15 2:13,2023/7/25 2:13,"497992701526	","RZM#杏之雨魅,6XL（建议体重230-270斤）","1413996629407	",#dd#230713-396907027262951#18059530840#2023-07-13#355445554513#44.9##;,无售后或售后取消,"463020021821364	",韵达快递,2023/7/13 16:11,否,,"	",
100%棉麻复古萝卜裤子女2023夏新款哈伦裤宽松纯色百搭休闲九分裤,230713-424987882342500,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/13 23:09,2023/7/20 20:42,"498371942762	","粉色,3XL 建议160-180斤","1414611427502	",#dd#230713-499289998983040#17350128509#2023-07-13#238001792094#18.9##;,无售后或售后取消,"777153996247929	",申通快递,2023/7/13 11:17,否,,"	",
睡衣女夏季纯棉短袖短裤可爱日系夏天两件套装薄款春秋大码家居服,230713-335082997242729,已取消,"96.05	","5.0	","0.0	","91.05	","91.05	","1	","	","	","497985203154	","AD96566,M码（适合体重80-102斤）","1413985803522	","	",无售后或售后取消,"	","	","	","	",,"	",
睡衣女夏季牛奶丝短袖短裤三件套宽松大码高颜值可外穿家居服春夏,230713-117167953441677,未发货，退款成功,"63.75	","5.0	","0.0	","58.75	","58.75	","1	","	","	","497996684823	","绿叶子【三件套】,L 建议【100-120斤】","1414002942959	",#dd#230713-246902977543040#17350128509#2023-07-13#455035777507#19.76##;,退款成功,"	","	",2023/7/13 11:15,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230713-402569358963005,已签收,"90.95	","3.0	","0.0	","87.95	","87.95	","1	",2023/7/13 23:09,2023/7/23 23:09,"498241710851	","玫红,XL（建议110-120斤）","1414396011719	",#dd#230713-157821255303040#17350128509#2023-07-13#345144408481#35.8##;,无售后或售后取消,"777153996250194	",申通快递,2023/7/13 11:09,否,,"	",
夏季女士棉绸短裤人造棉居家外穿休闲五分裤清凉宽松大码睡裤薄款,230713-507159530483821,已取消,"43.5	","5.0	","0.0	","38.5	","38.5	","1	","	","	","498391756480	","人棉【随机混发】五分裤,短裤2XL(建议130-160斤)","1414644854125	","	",无售后或售后取消,"	","	","	","	",,"	",
春夏高档棉绸女年轻睡衣薄款长袖可外穿200斤宽松家居服妈妈套装,230713-151000195853122,已签收,"82.45	","5.0	","0.0	","77.45	","77.45	","1	",2023/7/14 13:43,2023/7/24 13:43,"498244891240	","驼色接玉兰,L （100-115斤）","1414401274303	",#dd#230713-623242198663040#17350128509#2023-07-13#116137306898#32.9##;,无售后或售后取消,"463019003959277	",韵达快递,2023/7/13 11:05,否,,"	",
棉绸睡裙女夏中长款无袖薄款连衣裙大码妈妈睡衣人造棉居家服新款,230713-632113089582625,已签收,"50.15	","5.0	","0.0	","45.15	","45.15	","1	",2023/7/13 23:09,2023/7/16 19:36,"498236076590	","红色草莓,3XL 125-148斤左右","1414386474830	",#dd#230713-483461754503040#17350128509#2023-07-13#339658034#13.81##;,无售后或售后取消,"463015001347171	",韵达快递,2023/7/13 11:02,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230713-331308102570152,已发货，待签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/13 23:09,"	","498000631123	","A25113 全棉,M 【70-95斤】","1414008760757	",#dd#230713-429968660103040#17350128509#2023-07-13#474405619066#22.5##;,无售后或售后取消,"777153996250406	",申通快递,2023/7/13 10:56,否,,"	",
睡衣女夏季短袖长裤卡通可爱棉质韩版休闲宽松甜美清新家居服套装,230713-371379434480608,未发货，退款成功,"58.65	","5.0	","0.0	","53.65	","53.65	","1	","	","	","497979100563	","醉熊短袖长裤套装女,M码","1413975864629	","	",退款成功,"	","	",2023/7/13 10:56,否,,"	",
【买一送一】带胸垫女士睡衣吊带睡裙女夏季宽松可外穿休闲家居服,230713-497297673080181,已发货，待签收,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/13 19:40,"	","498238321140	","3. 【带胸垫】黑色爱心+吊带渐变,L 85-105斤","1414390127566	",#dd#230713-269992600583040#17350128509#2023-07-13#453750471597#37.81##;,售后处理中,"777153999506445	",申通快递,2023/7/13 10:38,否,,"	",
【两套价买一送一】睡裙女夏韩版网红女士学生宽松卡通可爱可外穿,230713-374425599371500,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/13 23:09,2023/7/23 23:09,"497957852711	","字母兔子+条纹围巾熊,2XL 建议110-125斤","1413942801199	",#dd#230713-029391656583040#17350128509#2023-07-13#292404997582#19.9##;,无售后或售后取消,"777153996250522	",申通快递,2023/7/13 10:36,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230713-399748668253015,已签收,"57.0	","5.0	","0.0	","52.0	","52.0	","1	",2023/7/14 13:43,2023/7/24 13:43,"498393606798	","焦糖+绿色 【B003两条装】,3XL 建议160-180斤","1414647890829	",#dd#230713-480363202183040#17350128509#2023-07-13#355926272712#17.62##;,无售后或售后取消,"777153900165495	",申通快递,2023/7/13 10:35,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230713-019534990193496,已发货，待签收,"37.24	","5.0	","0.0	","32.24	","32.24	","1	",2023/7/14 13:43,"	","498393606798	","黑色 【B003单条装】,2XL 建议140-160斤","1414647890873	",#dd#230713-479807467143040#17350128509#2023-07-13#355926272712#17.62##;,无售后或售后取消,"777153900134450	",申通快递,2023/7/13 10:30,否,,"	",
米白色运动短裤女夏季薄款2023新款中裤休闲宽松直筒阔腿五分裤潮,230713-663166729701228,已发货，待签收,"63.84	","5.0	","0.0	","58.84	","58.84	","1	",2023/7/13 23:09,"	","498406256055	","灰色【高档面料】,M 【建议95-110斤】","1414668440264	",#dd#230713-359451903623040#17350128509#2023-07-13#0#19.8##;,售后处理中,"463015000968375	",韵达快递,2023/7/13 10:28,否,,"	",
米白色运动短裤女夏季薄款2023新款中裤休闲宽松直筒阔腿五分裤潮,230713-555792547301228,已发货，待签收,"63.84	","3.0	","0.0	","60.84	","60.84	","1	",2023/7/13 23:09,"	","498406256055	","米白色【高档面料】,M 【建议95-110斤】","1414668440259	",#dd#230713-304579890183040#17350128509#2023-07-13#0#19.8##;,售后处理中,"463015001312638	",韵达快递,2023/7/13 10:28,否,,"	",
【买一送一】带胸垫女士睡衣吊带睡裙女夏季宽松可外穿休闲家居服,230713-414586039863151,已签收,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/13 14:12,2023/7/23 14:12,"498238321140	","10 【带胸垫】潮流小熊+卡通公仔,2XL 120-145斤","1414390127598	",#dd#230713-414386820743040#17350128509#2023-07-13#0#37.81##;,无售后或售后取消,"463013709874735	",韵达快递,2023/7/13 10:19,否,,"	",
紫色冰丝运动短裤女夏季2023薄款中裤高腰直筒阔腿宽松五分裤子潮,230713-542155744112317,已取消,"63.25	","5.0	","0.0	","58.25	","58.25	","1	","	","	","498376076116	","701灰色【高档面料】,XL 【建议125-140斤】","1414618449562	","	",无售后或售后取消,"	","	","	","	",,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230713-238781777340817,已发货，待签收,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/13 19:40,"	","497949373095	","V领红色金花+V领金色牡丹花,3XL 【145-160斤】","1413930005304	",#dd#230713-306016449543040#17350128509#2023-07-13#227107608999#39.9##;,无售后或售后取消,"777153999509462	",申通快递,2023/7/13 10:14,否,,"	",
